chrBase 	chr 	base 	strand 	coverage 	freqC 	freqT
chr1.135028 	chr1 	135028 	F 	26 	84.62 	15.38
chr1.134999 	chr1 	134999 	F 	27 	100 	0
chr1.135086 	chr1 	135086 	F 	23 	100 	0
chr1.135095 	chr1 	135095 	F 	20 	95 	5
chr1.135031 	chr1 	135031 	F 	24 	70.83 	29.17
chr1.567207 	chr1 	567207 	R 	11 	63.64 	36.36
chr1.567168 	chr1 	567168 	R 	11 	72.73 	27.27
chr1.567240 	chr1 	567240 	R 	11 	72.73 	27.27
chr1.763165 	chr1 	763165 	R 	18 	0 	100
chr1.763120 	chr1 	763120 	R 	18 	5.56 	94.44
chr1.763091 	chr1 	763091 	R 	18 	0 	100
chr1.763128 	chr1 	763128 	R 	18 	0 	100
chr1.763108 	chr1 	763108 	R 	17 	5.88 	94.12
chr1.763117 	chr1 	763117 	R 	17 	5.88 	94.12
chr1.763130 	chr1 	763130 	R 	18 	0 	100
chr1.763112 	chr1 	763112 	R 	18 	5.56 	94.44
chr1.763167 	chr1 	763167 	R 	18 	0 	100
chr1.763088 	chr1 	763088 	R 	18 	5.56 	94.44
chr1.763183 	chr1 	763183 	R 	18 	5.56 	94.44
chr1.768325 	chr1 	768325 	F 	12 	33.33 	66.67
chr1.768260 	chr1 	768260 	F 	12 	100 	0
chr1.793832 	chr1 	793832 	F 	10 	20 	80
chr1.793920 	chr1 	793920 	F 	11 	36.36 	63.64
chr1.793883 	chr1 	793883 	F 	11 	90.91 	9.09
chr1.793952 	chr1 	793952 	F 	11 	54.55 	45.45
chr1.793769 	chr1 	793769 	F 	11 	54.55 	45.45
chr1.793962 	chr1 	793962 	F 	10 	70 	30
chr1.793894 	chr1 	793894 	F 	11 	63.64 	36.36
chr1.799085 	chr1 	799085 	F 	19 	100 	0
chr1.799121 	chr1 	799121 	F 	19 	94.74 	5.26
chr1.833868 	chr1 	833868 	F 	13 	0 	100
chr1.833806 	chr1 	833806 	F 	14 	78.57 	21.43
chr1.833896 	chr1 	833896 	F 	14 	0 	100
chr1.837929 	chr1 	837929 	F 	15 	100 	0
chr1.837891 	chr1 	837891 	F 	15 	100 	0
chr1.837885 	chr1 	837885 	F 	16 	100 	0
chr1.840176 	chr1 	840176 	R 	15 	6.67 	93.33
chr1.840118 	chr1 	840118 	R 	14 	0 	100
chr1.840220 	chr1 	840220 	R 	16 	6.25 	93.75
chr1.840163 	chr1 	840163 	R 	12 	8.33 	91.67
chr1.840143 	chr1 	840143 	R 	13 	7.69 	92.31
chr1.840224 	chr1 	840224 	R 	16 	6.25 	93.75
chr1.840181 	chr1 	840181 	R 	15 	6.67 	93.33
chr1.840129 	chr1 	840129 	R 	17 	0 	100
chr1.840150 	chr1 	840150 	R 	12 	8.33 	91.67
chr1.840207 	chr1 	840207 	R 	13 	7.69 	92.31
chr1.840090 	chr1 	840090 	R 	17 	0 	100
chr1.840058 	chr1 	840058 	R 	10 	0 	100
chr1.840124 	chr1 	840124 	R 	17 	0 	100
chr1.840209 	chr1 	840209 	R 	15 	6.67 	93.33
chr1.840070 	chr1 	840070 	R 	17 	0 	100
chr1.840080 	chr1 	840080 	R 	12 	0 	100
chr1.840211 	chr1 	840211 	R 	16 	6.25 	93.75
chr1.840096 	chr1 	840096 	R 	16 	0 	100
chr1.840108 	chr1 	840108 	R 	17 	0 	100
chr1.840136 	chr1 	840136 	R 	14 	7.14 	92.86
chr1.840074 	chr1 	840074 	R 	17 	0 	100
chr1.840226 	chr1 	840226 	R 	16 	0 	100
chr1.840052 	chr1 	840052 	R 	14 	0 	100
chr1.840086 	chr1 	840086 	R 	17 	0 	100
chr1.840133 	chr1 	840133 	R 	27 	48.15 	51.85
chr1.840232 	chr1 	840232 	R 	16 	0 	100
chr1.840099 	chr1 	840099 	R 	13 	0 	100
chr1.840048 	chr1 	840048 	R 	14 	0 	100
chr1.840112 	chr1 	840112 	R 	17 	0 	100
chr1.840191 	chr1 	840191 	R 	15 	6.67 	93.33
chr1.840217 	chr1 	840217 	R 	16 	6.25 	93.75
chr1.840184 	chr1 	840184 	R 	10 	10 	90
chr1.840178 	chr1 	840178 	R 	12 	8.33 	91.67
chr1.840054 	chr1 	840054 	R 	15 	0 	100
chr1.840383 	chr1 	840383 	F 	10 	0 	100
chr1.840413 	chr1 	840413 	F 	10 	0 	100
chr1.840417 	chr1 	840417 	F 	11 	0 	100
chr1.840374 	chr1 	840374 	F 	12 	0 	100
chr1.841477 	chr1 	841477 	R 	30 	83.33 	16.67
chr1.841565 	chr1 	841565 	R 	34 	73.53 	26.47
chr1.845632 	chr1 	845632 	F 	19 	10.53 	89.47
chr1.845469 	chr1 	845469 	F 	11 	27.27 	72.73
chr1.845638 	chr1 	845638 	F 	19 	15.79 	84.21
chr1.845668 	chr1 	845668 	F 	17 	0 	100
chr1.845669 	chr1 	845669 	R 	15 	6.67 	93.33
chr1.845464 	chr1 	845464 	F 	11 	9.09 	90.91
chr1.845462 	chr1 	845462 	F 	11 	27.27 	72.73
chr1.845705 	chr1 	845705 	R 	15 	6.67 	93.33
chr1.845630 	chr1 	845630 	F 	19 	10.53 	89.47
chr1.845615 	chr1 	845615 	F 	18 	0 	100
chr1.845600 	chr1 	845600 	F 	19 	0 	100
chr1.845624 	chr1 	845624 	F 	19 	21.05 	78.95
chr1.845680 	chr1 	845680 	R 	15 	13.33 	86.67
chr1.845458 	chr1 	845458 	F 	11 	9.09 	90.91
chr1.845486 	chr1 	845486 	F 	10 	40 	60
chr1.845588 	chr1 	845588 	F 	19 	26.32 	73.68
chr1.845691 	chr1 	845691 	R 	15 	6.67 	93.33
chr1.845592 	chr1 	845592 	F 	18 	22.22 	77.78
chr1.845697 	chr1 	845697 	R 	13 	7.69 	92.31
chr1.845679 	chr1 	845679 	F 	18 	0 	100
chr1.845618 	chr1 	845618 	F 	19 	10.53 	89.47
chr1.845694 	chr1 	845694 	R 	13 	7.69 	92.31
chr1.845636 	chr1 	845636 	F 	19 	15.79 	84.21
chr1.845639 	chr1 	845639 	R 	10 	10 	90
chr1.845467 	chr1 	845467 	F 	11 	0 	100
chr1.846397 	chr1 	846397 	R 	12 	66.67 	33.33
chr1.846427 	chr1 	846427 	R 	12 	91.67 	8.33
chr1.846468 	chr1 	846468 	R 	12 	100 	0
chr1.849208 	chr1 	849208 	R 	26 	42.31 	57.69
chr1.849241 	chr1 	849241 	R 	28 	46.43 	53.57
chr1.849254 	chr1 	849254 	R 	28 	78.57 	21.43
chr1.849252 	chr1 	849252 	R 	29 	79.31 	20.69
chr1.849285 	chr1 	849285 	R 	28 	60.71 	39.29
chr1.850784 	chr1 	850784 	F 	13 	92.31 	7.69
chr1.850870 	chr1 	850870 	F 	10 	70 	30
chr1.850836 	chr1 	850836 	F 	13 	61.54 	38.46
chr1.850803 	chr1 	850803 	F 	13 	69.23 	30.77
chr1.850823 	chr1 	850823 	F 	12 	100 	0
chr1.853797 	chr1 	853797 	R 	20 	85 	15
chr1.853770 	chr1 	853770 	R 	19 	36.84 	63.16
chr1.853810 	chr1 	853810 	R 	22 	81.82 	18.18
chr1.853826 	chr1 	853826 	R 	22 	72.73 	27.27
chr1.853821 	chr1 	853821 	R 	21 	85.71 	14.29
chr1.853795 	chr1 	853795 	R 	20 	90 	10
chr1.856059 	chr1 	856059 	F 	16 	6.25 	93.75
chr1.855996 	chr1 	855996 	F 	17 	0 	100
chr1.856047 	chr1 	856047 	F 	16 	6.25 	93.75
chr1.855968 	chr1 	855968 	F 	17 	23.53 	76.47
chr1.856040 	chr1 	856040 	F 	16 	25 	75
chr1.856042 	chr1 	856042 	F 	16 	0 	100
chr1.856044 	chr1 	856044 	F 	16 	0 	100
chr1.856586 	chr1 	856586 	R 	14 	0 	100
chr1.856300 	chr1 	856300 	R 	31 	9.68 	90.32
chr1.856262 	chr1 	856262 	R 	29 	0 	100
chr1.856644 	chr1 	856644 	R 	17 	0 	100
chr1.856620 	chr1 	856620 	R 	17 	0 	100
chr1.856589 	chr1 	856589 	R 	14 	0 	100
chr1.856617 	chr1 	856617 	R 	16 	0 	100
chr1.860092 	chr1 	860092 	R 	11 	0 	100
chr1.860054 	chr1 	860054 	R 	13 	0 	100
chr1.860025 	chr1 	860025 	R 	10 	0 	100
chr1.860108 	chr1 	860108 	R 	15 	6.67 	93.33
chr1.860078 	chr1 	860078 	R 	15 	0 	100
chr1.860088 	chr1 	860088 	R 	15 	0 	100
chr1.860114 	chr1 	860114 	R 	15 	0 	100
chr1.860043 	chr1 	860043 	R 	15 	0 	100
chr1.860099 	chr1 	860099 	R 	15 	0 	100
