chrBase 	chr 	base 	strand 	coverage 	freqC 	freqT
chr1.10525 	chr1 	10525 	F 	29 	93.1 	6.9
chr1.10542 	chr1 	10542 	F 	28 	92.86 	7.14
chr1.10497 	chr1 	10497 	F 	29 	100 	0
chr1.135028 	chr1 	135028 	F 	26 	84.62 	15.38
chr1.135031 	chr1 	135031 	F 	26 	34.62 	65.38
chr1.134999 	chr1 	134999 	F 	26 	73.08 	26.92
chr1.136895 	chr1 	136895 	F 	11 	81.82 	18.18
chr1.136876 	chr1 	136876 	F 	11 	100 	0
chr1.136925 	chr1 	136925 	F 	11 	100 	0
chr1.136911 	chr1 	136911 	F 	11 	81.82 	18.18
chr1.136913 	chr1 	136913 	F 	11 	100 	0
chr1.544752 	chr1 	544752 	F 	26 	100 	0
chr1.544743 	chr1 	544743 	F 	26 	100 	0
chr1.544750 	chr1 	544750 	F 	26 	84.62 	15.38
chr1.544739 	chr1 	544739 	F 	26 	96.15 	3.85
chr1.544718 	chr1 	544718 	F 	26 	100 	0
chr1.567207 	chr1 	567207 	R 	109 	56.88 	43.12
chr1.567240 	chr1 	567240 	R 	109 	72.48 	27.52
chr1.662706 	chr1 	662706 	F 	13 	100 	0
chr1.662678 	chr1 	662678 	F 	13 	92.31 	7.69
chr1.662692 	chr1 	662692 	F 	13 	100 	0
chr1.662694 	chr1 	662694 	F 	13 	84.62 	15.38
chr1.662657 	chr1 	662657 	F 	13 	100 	0
chr1.713400 	chr1 	713400 	F 	14 	14.29 	85.71
chr1.713388 	chr1 	713388 	F 	14 	100 	0
chr1.713450 	chr1 	713450 	R 	23 	100 	0
chr1.713448 	chr1 	713448 	R 	23 	100 	0
chr1.713376 	chr1 	713376 	F 	14 	100 	0
chr1.713454 	chr1 	713454 	R 	23 	100 	0
chr1.715390 	chr1 	715390 	R 	15 	100 	0
chr1.715392 	chr1 	715392 	R 	15 	93.33 	6.67
chr1.715405 	chr1 	715405 	R 	15 	100 	0
chr1.715415 	chr1 	715415 	R 	15 	93.33 	6.67
chr1.758830 	chr1 	758830 	R 	16 	93.75 	6.25
chr1.762851 	chr1 	762851 	R 	43 	0 	100
chr1.762917 	chr1 	762917 	F 	44 	2.27 	97.73
chr1.762883 	chr1 	762883 	R 	43 	44.19 	55.81
chr1.762919 	chr1 	762919 	F 	44 	0 	100
chr1.762912 	chr1 	762912 	F 	44 	0 	100
chr1.762825 	chr1 	762825 	F 	56 	0 	100
chr1.762937 	chr1 	762937 	F 	44 	0 	100
chr1.762870 	chr1 	762870 	R 	43 	0 	100
chr1.762915 	chr1 	762915 	F 	44 	0 	100
chr1.762809 	chr1 	762809 	F 	56 	0 	100
chr1.762793 	chr1 	762793 	F 	56 	39.29 	60.71
chr1.762933 	chr1 	762933 	F 	44 	0 	100
chr1.762926 	chr1 	762926 	F 	44 	0 	100
chr1.762866 	chr1 	762866 	R 	43 	0 	100
chr1.762806 	chr1 	762806 	F 	56 	0 	100
chr1.762931 	chr1 	762931 	F 	44 	0 	100
chr1.762897 	chr1 	762897 	F 	44 	13.64 	86.36
chr1.768260 	chr1 	768260 	F 	36 	97.22 	2.78
chr1.793769 	chr1 	793769 	F 	44 	70.45 	29.55
chr1.799085 	chr1 	799085 	F 	48 	83.33 	16.67
chr1.799121 	chr1 	799121 	F 	48 	89.58 	10.42
chr1.805520 	chr1 	805520 	R 	10 	40 	60
chr1.805377 	chr1 	805377 	F 	50 	28 	72
chr1.805445 	chr1 	805445 	R 	10 	0 	100
chr1.805501 	chr1 	805501 	R 	10 	10 	90
chr1.805352 	chr1 	805352 	F 	50 	12 	88
chr1.805338 	chr1 	805338 	F 	50 	4 	96
chr1.805429 	chr1 	805429 	R 	10 	40 	60
chr1.805327 	chr1 	805327 	F 	50 	46 	54
chr1.805499 	chr1 	805499 	R 	10 	10 	90
chr1.805437 	chr1 	805437 	R 	10 	10 	90
chr1.805468 	chr1 	805468 	R 	10 	40 	60
chr1.805404 	chr1 	805404 	R 	67 	0 	100
chr1.805435 	chr1 	805435 	R 	10 	30 	70
chr1.805523 	chr1 	805523 	R 	10 	80 	20
chr1.805341 	chr1 	805341 	F 	50 	8 	92
chr1.805378 	chr1 	805378 	R 	67 	13.43 	86.57
chr1.805401 	chr1 	805401 	R 	67 	0 	100
chr1.805412 	chr1 	805412 	R 	67 	17.91 	82.09
chr1.805450 	chr1 	805450 	R 	10 	10 	90
chr1.805383 	chr1 	805383 	R 	67 	7.46 	92.54
chr1.830584 	chr1 	830584 	F 	10 	100 	0
chr1.830549 	chr1 	830549 	F 	10 	100 	0
chr1.833806 	chr1 	833806 	F 	40 	75 	25
chr1.838050 	chr1 	838050 	R 	12 	8.33 	91.67
chr1.838079 	chr1 	838079 	R 	12 	83.33 	16.67
chr1.838308 	chr1 	838308 	F 	29 	100 	0
chr1.838302 	chr1 	838302 	F 	29 	65.52 	34.48
chr1.838295 	chr1 	838295 	F 	29 	75.86 	24.14
chr1.839517 	chr1 	839517 	R 	10 	100 	0
chr1.839436 	chr1 	839436 	R 	38 	65.79 	34.21
chr1.839355 	chr1 	839355 	F 	48 	100 	0
chr1.839578 	chr1 	839578 	R 	22 	86.36 	13.64
chr1.839464 	chr1 	839464 	F 	13 	15.38 	84.62
chr1.839435 	chr1 	839435 	F 	13 	76.92 	23.08
chr1.839726 	chr1 	839726 	R 	11 	36.36 	63.64
chr1.839401 	chr1 	839401 	R 	38 	100 	0
chr1.839516 	chr1 	839516 	F 	18 	94.44 	5.56
chr1.839762 	chr1 	839762 	R 	11 	63.64 	36.36
chr1.839753 	chr1 	839753 	R 	11 	36.36 	63.64
chr1.839400 	chr1 	839400 	F 	48 	95.83 	4.17
chr1.839398 	chr1 	839398 	R 	38 	94.74 	5.26
chr1.839509 	chr1 	839509 	R 	10 	100 	0
chr1.839576 	chr1 	839576 	R 	22 	100 	0
chr1.839593 	chr1 	839593 	R 	22 	100 	0
chr1.839739 	chr1 	839739 	R 	11 	27.27 	72.73
chr1.839397 	chr1 	839397 	F 	48 	97.92 	2.08
chr1.840149 	chr1 	840149 	F 	47 	0 	100
chr1.840530 	chr1 	840530 	R 	11 	36.36 	63.64
chr1.840220 	chr1 	840220 	R 	55 	1.82 	98.18
chr1.840226 	chr1 	840226 	R 	59 	8.47 	91.53
chr1.840180 	chr1 	840180 	F 	47 	0 	100
chr1.840394 	chr1 	840394 	F 	47 	6.38 	93.62
chr1.840224 	chr1 	840224 	R 	59 	5.08 	94.92
chr1.840183 	chr1 	840183 	F 	47 	0 	100
chr1.840383 	chr1 	840383 	F 	47 	2.13 	97.87
chr1.840142 	chr1 	840142 	F 	47 	0 	100
chr1.840132 	chr1 	840132 	F 	47 	36.17 	63.83
chr1.840162 	chr1 	840162 	F 	47 	0 	100
chr1.840422 	chr1 	840422 	F 	47 	4.26 	95.74
chr1.840181 	chr1 	840181 	R 	26 	0 	100
chr1.840479 	chr1 	840479 	R 	11 	0 	100
chr1.840232 	chr1 	840232 	R 	59 	32.2 	67.8
chr1.840175 	chr1 	840175 	F 	47 	0 	100
chr1.840207 	chr1 	840207 	R 	59 	3.39 	96.61
chr1.840505 	chr1 	840505 	R 	11 	27.27 	72.73
chr1.840515 	chr1 	840515 	R 	11 	0 	100
chr1.840177 	chr1 	840177 	F 	47 	2.13 	97.87
chr1.840209 	chr1 	840209 	R 	59 	1.69 	98.31
chr1.840191 	chr1 	840191 	R 	58 	1.72 	98.28
chr1.840135 	chr1 	840135 	F 	47 	2.13 	97.87
chr1.840413 	chr1 	840413 	F 	47 	2.13 	97.87
chr1.840217 	chr1 	840217 	R 	59 	3.39 	96.61
chr1.840184 	chr1 	840184 	R 	54 	3.7 	96.3
chr1.840417 	chr1 	840417 	F 	47 	2.13 	97.87
chr1.840374 	chr1 	840374 	F 	47 	12.77 	87.23
chr1.840513 	chr1 	840513 	R 	11 	9.09 	90.91
chr1.840211 	chr1 	840211 	R 	59 	5.08 	94.92
chr1.841565 	chr1 	841565 	R 	79 	96.2 	3.8
chr1.842097 	chr1 	842097 	R 	36 	0 	100
chr1.842143 	chr1 	842143 	F 	14 	7.14 	92.86
chr1.842119 	chr1 	842119 	R 	36 	22.22 	77.78
chr1.842210 	chr1 	842210 	R 	15 	33.33 	66.67
chr1.842205 	chr1 	842205 	R 	14 	7.14 	92.86
